epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
69,1179.02,0.44233,0.35419,0.40718,0.94326,0,0.86413,0.57977,0.77806,0.67857,0.85923,0.57455,0.76898,0.6224,0.37019,0.26646,0.3831,0.87206,0,0.000258275,0.000258275,0.000258275
70,1195.9,0.43482,0.31176,0.41672,0.90143,0,0.57863,0.97287,0.84275,0.75642,0.57324,0.96645,0.83505,0.68925,0.36906,0.26627,0.34293,0.86504,0,0.000257176,0.000257176,0.000257176
71,1213.02,0.44658,0.32536,0.44059,0.91667,0,0.606,0.87086,0.8491,0.74291,0.60884,0.87395,0.8521,0.72353,0.36984,0.25798,0.34661,0.86568,0,0.000256077,0.000256077,0.000256077
72,1230.39,0.44659,0.34182,0.42409,0.91191,0,0.70305,0.69699,0.74727,0.64158,0.7026,0.69649,0.74826,0.5974,0.35824,0.27542,0.40438,0.85961,0,0.000254978,0.000254978,0.000254978
73,1247.31,0.43977,0.34383,0.41445,0.92005,0,0.77863,0.65558,0.76252,0.65735,0.78542,0.65859,0.76607,0.60654,0.38354,0.28393,0.42713,0.87502,0,0.000253879,0.000253879,0.000253879
74,1264.25,0.42876,0.31469,0.41175,0.91471,0,0.65534,0.73815,0.70435,0.614,0.6731,0.74872,0.70657,0.55716,0.36982,0.25232,0.41181,0.86939,0,0.00025278,0.00025278,0.00025278
75,1281.15,0.43389,0.31925,0.42588,0.92781,0,0.6137,0.82846,0.8183,0.72617,0.61347,0.82821,0.81829,0.65658,0.35586,0.26018,0.3543,0.8594,0,0.000251681,0.000251681,0.000251681
76,1298.03,0.44604,0.33927,0.43196,0.92104,0,0.60238,0.82962,0.76885,0.69334,0.60238,0.82962,0.76885,0.61432,0.36703,0.24148,0.38288,0.85974,0,0.000250583,0.000250583,0.000250583
77,1314.98,0.44463,0.31099,0.43271,0.91402,0,0.7265,0.739,0.79001,0.70639,0.7265,0.739,0.79001,0.61277,0.36335,0.24598,0.36325,0.85584,0,0.000249484,0.000249484,0.000249484
78,1331.89,0.46191,0.30961,0.43578,0.94087,0,0.83226,0.69783,0.88754,0.81627,0.82874,0.69424,0.88737,0.7101,0.35516,0.24231,0.32863,0.85781,0,0.000248385,0.000248385,0.000248385
79,1349.1,0.40843,0.28169,0.43012,0.91663,0,0.66413,0.73681,0.71923,0.63541,0.68948,0.74177,0.72015,0.56783,0.35599,0.237,0.39214,0.86594,0,0.000247286,0.000247286,0.000247286
80,1366.03,0.43948,0.31428,0.4523,0.93463,0,0.58598,0.96246,0.83514,0.72975,0.57976,0.95579,0.82238,0.66757,0.37845,0.24826,0.36503,0.8763,0,0.000246187,0.000246187,0.000246187
81,1382.91,0.46173,0.32152,0.46805,0.93933,0,0.63417,0.93607,0.86083,0.77622,0.63395,0.93582,0.8609,0.70207,0.37016,0.2234,0.35121,0.86839,0,0.000245088,0.000245088,0.000245088
82,1399.8,0.45318,0.32078,0.44423,0.93578,0,0.68694,0.86061,0.92829,0.8456,0.68672,0.86036,0.92826,0.75942,0.35614,0.23508,0.3602,0.86059,0,0.000243989,0.000243989,0.000243989
83,1417,0.41721,0.30377,0.40676,0.92513,0,0.79661,0.7266,0.89054,0.81957,0.79614,0.7261,0.89038,0.74611,0.34045,0.24769,0.31959,0.85269,0,0.00024289,0.00024289,0.00024289
84,1433.89,0.43307,0.3152,0.43813,0.93043,0,0.90941,0.57947,0.79336,0.72075,0.90916,0.57922,0.79326,0.647,0.34457,0.25414,0.35111,0.85754,0,0.000241791,0.000241791,0.000241791
85,1450.79,0.42646,0.30606,0.43501,0.92124,0,0.64286,0.71411,0.69994,0.64634,0.64241,0.71361,0.69984,0.57681,0.33749,0.25329,0.34909,0.85409,0,0.000240692,0.000240692,0.000240692
86,1467.74,0.40346,0.2929,0.40259,0.91888,0,0.54436,0.81029,0.82026,0.74966,0.54128,0.80695,0.81492,0.67419,0.33825,0.25479,0.35893,0.8602,0,0.000239594,0.000239594,0.000239594
87,1484.6,0.42091,0.30574,0.42628,0.93179,0,0.72369,0.69605,0.74283,0.66954,0.72347,0.6958,0.7428,0.60335,0.33351,0.24867,0.41195,0.84701,0,0.000238495,0.000238495,0.000238495
88,1501.5,0.39953,0.28005,0.396,0.88982,0,0.74583,0.74762,0.74019,0.68281,0.7434,0.74453,0.73388,0.60164,0.33161,0.23762,0.30641,0.84858,0,0.000237396,0.000237396,0.000237396
89,1518.38,0.42875,0.29745,0.41254,0.91975,0,0.68601,0.797,0.8203,0.73638,0.68352,0.79391,0.81474,0.67587,0.33649,0.23179,0.32013,0.84551,0,0.000236297,0.000236297,0.000236297
90,1535.5,0.4251,0.32938,0.41733,0.91261,0,0.54086,0.83932,0.70643,0.62869,0.54086,0.83932,0.70642,0.55995,0.34162,0.22386,0.34002,0.85131,0,0.000235198,0.000235198,0.000235198
91,1552.42,0.41044,0.31116,0.41277,0.91188,0,0.72587,0.79841,0.83211,0.76185,0.72587,0.79841,0.83211,0.70187,0.33906,0.22547,0.3509,0.84788,0,0.000234099,0.000234099,0.000234099
92,1569.33,0.43847,0.3301,0.40268,0.9266,0,0.84624,0.69907,0.82758,0.74358,0.84624,0.69907,0.82758,0.70064,0.35122,0.22771,0.35349,0.85335,0,0.000233,0.000233,0.000233
93,1586.24,0.4308,0.29986,0.41741,0.93784,0,0.63268,0.76302,0.81289,0.7276,0.63246,0.76277,0.81288,0.67072,0.33571,0.24673,0.3619,0.84945,0,0.000231901,0.000231901,0.000231901
94,1603.18,0.43181,0.30582,0.41881,0.90753,0,0.75575,0.80326,0.86185,0.77136,0.75575,0.80326,0.86183,0.71527,0.331,0.22761,0.3451,0.84573,0,0.000230802,0.000230802,0.000230802
95,1620.07,0.4082,0.27843,0.38869,0.90771,0,0.77072,0.76168,0.91107,0.81003,0.7705,0.76143,0.91101,0.75235,0.33794,0.22016,0.37717,0.84632,0,0.000229703,0.000229703,0.000229703
96,1636.99,0.40606,0.2999,0.38501,0.90316,0,0.7695,0.76666,0.82829,0.74352,0.7695,0.76666,0.82829,0.65509,0.32977,0.22679,0.35209,0.84526,0,0.000228605,0.000228605,0.000228605
97,1654.12,0.39954,0.28723,0.38318,0.90429,0,0.80845,0.61722,0.88594,0.78229,0.80845,0.61722,0.88594,0.74862,0.3225,0.2106,0.37591,0.84178,0,0.000227506,0.000227506,0.000227506
98,1671.03,0.39993,0.32022,0.4011,0.90303,0,0.85027,0.62786,0.82942,0.7397,0.85027,0.62786,0.82942,0.69957,0.32848,0.21922,0.36671,0.84581,0,0.000226407,0.000226407,0.000226407
99,1687.95,0.37409,0.3021,0.39024,0.88887,0,0.82614,0.67838,0.73671,0.65222,0.82591,0.67813,0.73663,0.59905,0.33675,0.22257,0.34774,0.85061,0,0.000225308,0.000225308,0.000225308
100,1704.81,0.40644,0.2853,0.39974,0.92067,0,0.82632,0.64788,0.89747,0.79902,0.82632,0.64788,0.89742,0.75301,0.34204,0.22383,0.33982,0.85619,0,0.000224209,0.000224209,0.000224209
101,1721.73,0.40804,0.28225,0.39001,0.89226,0,0.73984,0.7376,0.85369,0.76061,0.74156,0.73974,0.85419,0.68546,0.33984,0.23264,0.35351,0.85403,0,0.00022311,0.00022311,0.00022311
102,1738.64,0.40215,0.29199,0.38899,0.89762,0,0.60895,0.88429,0.85194,0.76748,0.60588,0.88095,0.8465,0.71095,0.32397,0.23736,0.35265,0.84287,0,0.000222011,0.000222011,0.000222011
103,1755.54,0.38912,0.26592,0.3882,0.89146,0,0.7169,0.79274,0.88334,0.79743,0.71406,0.78965,0.88162,0.73261,0.32959,0.24318,0.33588,0.84452,0,0.000220912,0.000220912,0.000220912
104,1772.47,0.41678,0.2993,0.39319,0.90452,0,0.65832,0.8637,0.78889,0.72008,0.65567,0.86061,0.78806,0.65573,0.33315,0.22656,0.33093,0.84389,0,0.000219813,0.000219813,0.000219813
105,1789.35,0.40272,0.28402,0.39259,0.91231,0,0.77385,0.70769,0.70644,0.6397,0.77385,0.70769,0.70644,0.56351,0.32521,0.22702,0.32569,0.84341,0,0.000218714,0.000218714,0.000218714
106,1806.26,0.39808,0.28845,0.3901,0.90112,0,0.8306,0.74463,0.8771,0.78408,0.8306,0.74463,0.8771,0.69843,0.33107,0.22065,0.30241,0.84658,0,0.000217616,0.000217616,0.000217616
107,1823.17,0.42045,0.28228,0.39755,0.91907,0,0.67984,0.87913,0.85973,0.77163,0.67984,0.87913,0.86372,0.68777,0.3264,0.22444,0.30904,0.84589,0,0.000216517,0.000216517,0.000216517
108,1840.09,0.3965,0.25948,0.36795,0.91534,0,0.61825,0.93983,0.88495,0.78911,0.61825,0.93983,0.88459,0.72237,0.33588,0.21872,0.32927,0.85274,0,0.000215418,0.000215418,0.000215418
109,1856.98,0.39324,0.29955,0.39739,0.90036,0,0.7022,0.8605,0.89525,0.80055,0.7022,0.8605,0.89525,0.74448,0.32159,0.2243,0.32006,0.84643,0,0.000214319,0.000214319,0.000214319
110,1873.85,0.40052,0.2875,0.3749,0.92192,0,0.84221,0.7025,0.88441,0.79168,0.84244,0.70275,0.88332,0.73155,0.32021,0.21274,0.32268,0.8421,0,0.00021322,0.00021322,0.00021322
111,1890.94,0.38099,0.26053,0.3573,0.89293,0,0.87809,0.61788,0.78842,0.67975,0.63226,0.86987,0.78707,0.6192,0.33256,0.22177,0.32818,0.85195,0,0.000212121,0.000212121,0.000212121
112,1907.85,0.39282,0.26986,0.37538,0.88594,0,0.84135,0.6523,0.89223,0.80427,0.84135,0.6523,0.89291,0.72767,0.32217,0.21252,0.30136,0.84596,0,0.000211022,0.000211022,0.000211022
113,1924.78,0.4194,0.279,0.39376,0.9234,0,0.62438,0.95475,0.94595,0.86425,0.6315,0.96092,0.94674,0.7718,0.32296,0.22468,0.32434,0.84333,0,0.000209923,0.000209923,0.000209923
114,1941.94,0.39513,0.28275,0.37316,0.91447,0,0.68419,0.82666,0.86905,0.79524,0.68419,0.82666,0.86704,0.68843,0.30774,0.23243,0.35898,0.83519,0,0.000208824,0.000208824,0.000208824
115,1958.86,0.39675,0.28919,0.38554,0.91541,0,0.81235,0.84274,0.95966,0.87559,0.81283,0.84324,0.95829,0.78568,0.31523,0.21904,0.27953,0.83718,0,0.000207725,0.000207725,0.000207725
116,1976.03,0.41458,0.27997,0.38426,0.91356,0,0.88589,0.84426,0.94365,0.83334,0.88536,0.84338,0.94201,0.7824,0.31352,0.21213,0.28276,0.83914,0,0.000206627,0.000206627,0.000206627
117,1993.3,0.42342,0.29836,0.36005,0.93291,0,0.66274,0.82133,0.77241,0.69618,0.66296,0.82158,0.77176,0.64959,0.31438,0.21441,0.33376,0.83319,0,0.000205528,0.000205528,0.000205528
118,2010.46,0.39104,0.27558,0.33421,0.89097,0,0.63637,0.78382,0.67234,0.60076,0.63637,0.78382,0.67066,0.53968,0.32884,0.21943,0.38545,0.85022,0,0.000204429,0.000204429,0.000204429
119,2027.37,0.39631,0.29152,0.37976,0.9225,0,0.6453,0.85296,0.75813,0.69471,0.64508,0.85271,0.75821,0.62034,0.31293,0.22731,0.33533,0.83595,0,0.00020333,0.00020333,0.00020333
120,2044.42,0.40474,0.29359,0.39975,0.90006,0,0.82736,0.64594,0.79572,0.71027,0.82736,0.64594,0.79575,0.63747,0.31189,0.22097,0.3085,0.83769,0,0.000202231,0.000202231,0.000202231
